kpi_id,unit_id,month,year,target_value,
3,HUBCMU,10,2026,0.952479,
3,HUBCMU,11,2026,0.952479,
3,HUBCMU,12,2026,0.942858,
3,HUBDTP,1,2026,0.943544,
3,HUBDTP,2,2026,0.953172,
3,HUBDTP,3,2026,0.972428,
3,HUBDTP,4,2026,0.972428,
3,HUBDTP,5,2026,0.9628,
3,HUBDTP,6,2026,0.982056,
3,HUBDTP,7,2026,0.982056,
3,HUBDTP,8,2026,0.982056,
3,HUBDTP,9,2026,0.953172,
3,HUBDTP,10,2026,0.953172,
3,HUBDTP,11,2026,0.953172,
3,HUBDTP,12,2026,0.943544,
3,HUBKGG,1,2026,0.940408,
3,HUBKGG,2,2026,0.950004,
3,HUBKGG,3,2026,0.969196,
3,HUBKGG,4,2026,0.969196,
3,HUBKGG,5,2026,0.9596,
3,HUBKGG,6,2026,0.978792,
3,HUBKGG,7,2026,0.978792,
3,HUBKGG,8,2026,0.978792,
3,HUBKGG,9,2026,0.950004,
3,HUBKGG,10,2026,0.950004,
3,HUBKGG,11,2026,0.950004,
3,HUBKGG,12,2026,0.940408,
3,HUBSTG,1,2026,0.947562,
3,HUBSTG,2,2026,0.957231,
3,HUBSTG,3,2026,0.976569,
3,HUBSTG,4,2026,0.976569,
3,HUBSTG,5,2026,0.9669,
3,HUBSTG,6,2026,0.986238,
3,HUBSTG,7,2026,0.986238,
3,HUBSTG,8,2026,0.986238,
3,HUBSTG,9,2026,0.957231,
3,HUBSTG,10,2026,0.957231,
3,HUBSTG,11,2026,0.957231,
3,HUBSTG,12,2026,0.947562,
3,HUBTVH,1,2026,0.950208,
3,HUBTVH,2,2026,0.959904,
3,HUBTVH,3,2026,0.979296,
3,HUBTVH,4,2026,0.979296,
3,HUBTVH,5,2026,0.9696,
3,HUBTVH,6,2026,0.988992,
3,HUBTVH,7,2026,0.988992,
3,HUBTVH,8,2026,0.988992,
3,HUBTVH,9,2026,0.959904,
3,HUBTVH,10,2026,0.959904,
3,HUBTVH,11,2026,0.959904,
3,HUBTVH,12,2026,0.950208,
3,HUBLDG02,1,2026,0.882,
3,HUBLDG02,2,2026,0.891,
3,HUBLDG02,3,2026,0.909,
3,HUBLDG02,4,2026,0.909,
3,HUBLDG02,5,2026,0.9,
3,HUBLDG02,6,2026,0.918,
3,HUBLDG02,7,2026,0.918,
3,HUBLDG02,8,2026,0.918,
3,HUBLDG02,9,2026,0.891,
3,HUBLDG02,10,2026,0.891,
